id,cuisine,review_count,rating
_T7f2wUgNlJqxsR-cR89SQ,italian,289,4.5
SxvKjtbq5qRlFoXrU8Bo9Q,italian,332,4.5
l-Zjik0MbpabQPv-nNp9YQ,italian,421,4.5
ZeWgkWVOvUeauW9ARQkH0Q,italian,30,4.5
Dnq4w6ajMifZFFTIR5cGxw,italian,31,4.5
yRUZ_sIxV6FyNygZD6MNTg,italian,62,4.0
ixGb4NLfgD90wZHlw94rLw,italian,78,4.0
JG9UpsFR6hrqQqsKh_RyaQ,italian,427,4.0
JknT98CaJAfBPg6cxBn3iw,italian,49,4.0
wVc3g-YfyDvkOLDecpr4DA,italian,117,4.0
L8W83-wPFLMs457cAu60Eg,italian,49,4.0
l8aXvi2eMpU9MHw2DhivIA,italian,24,4.5
s698bbuORDosms1Wfy2z7g,italian,44,4.0
m_5-Klux3KcRQVo1EOtcig,italian,33,4.0
dGuRCJV66l-K7flfrwEgaA,italian,37,4.0
qhUSOEBEmHobLLwIBAW5Ng,italian,42,4.0
9HC5xHX8QE8VmGd-wCKEaA,italian,67,4.0
C16ogi6ASv-sQW3SGScmNQ,italian,94,3.5
Qqm3yVcqTbC1IOKu0TG2nQ,italian,160,3.5
UpmAfOoh6WTF9g6AH-6ofA,italian,34,4.0
n9BrA1zIwlbiP1hLAc24jg,italian,112,3.5
wQMw6kc24uUQqqUGxe3Ztg,italian,64,3.5
djKTruHtS4n_vlfOknxjRw,italian,78,3.5
s9JXZQq3E5Ol0Dk4zoU6CA,italian,113,3.5
i6_TplN1-SXQGbACBfH9VQ,italian,20,4.0
Q4p_mqo0R98KeeIYCLA6-g,italian,16,4.0
OBG1j517k7aZRNC1HAL0TA,italian,207,3.5
eXv1z7eHgVkqSdAJi98y0w,italian,5,5.0
5bKZts4SBkWGBls9K3OreQ,italian,75,3.5
apKcLTc97uBsv3x4pA7BZw,italian,8,4.5
UP7ejOl-PQyWZ9iFRQD8Xw,italian,62,3.5
XD0LjNuPPwJPsTAHecUh7A,italian,263,3.0
x1IPOlH_O5D3qZdZo6YyEA,italian,30,3.5
7ZBh-3wWVQ5zkd6KZytW0g,italian,148,3.0
JK_DiDwbl7HX5OhCAh3h4g,italian,191,3.0
a_HejZvHvG2IM7ri1CnlYA,italian,56,3.5
zWVGT1UptltVVIc4DX9D1Q,italian,16,4.0
EY4xsGDe0euyusOfAb3Cwg,italian,16,4.0
WzleXDgNBtwNo80gn7CgEg,italian,11,4.0
va7QuRicUp1Klt5dyCR7mg,italian,23,3.5
6yhhRjPaBMhUye8QWxslzA,italian,6,4.5
L5Vpsyc48MrtJjFHT1UPAg,italian,69,3.0
L3R7y3_tUKQlM9kor4-Ccw,italian,436,3.0
3QS2Wgedv3jjKC5vJXJTcA,italian,34,3.5
uz6ZB-QsWqTjz6xgXy4fKA,italian,15,4.0
FpkUmjM8fsrZyPH-okn2qQ,italian,15,4.0
Lzj-_QdzL2bLeHd_bC88Fg,italian,37,3.5
0rMFhLzeq3Z2OaJ62MQXlw,italian,14,4.0
98V9R-7YT20KmcmJyMiJmg,italian,97,3.0
9xdVIIzHp12Zrox5aFaaHA,italian,132,4.0
4eP4sX4NXyDSdGBE8RAoJQ,italian,61,4.5
QNCLibxXF1GlOEV-fKzUpQ,italian,53,4.5
ye9fmMm1DyBTBjMMRVDgDQ,italian,18,4.5
dulgBrNtDCGjYcbQa2E6uA,italian,151,4.0
C-1vkiwcWIuWCNYhwDLCow,italian,15,4.5
9Jn6MJZMz2R6rcszqmXDqg,italian,48,4.0
YcU8pVXAFxybe8aiOBQOcw,italian,21,4.5
atBul_9I4TtdozKU0mRBjg,italian,70,4.0
aYGqrw1lJHs8Hw0kHC5TVA,italian,53,4.0
MYCrFbGo2-ZiEYqpwiKsrw,italian,59,4.0
X3UyZfplYAXdSJpWPaxUIA,italian,17,4.5
8pGD3zt6HEL2xzaT3lqMFQ,italian,14,4.5
Orgm9nmcClxnAUva4nOKyA,italian,342,3.5
O5_CKNQOmtRHY_CjOB6XYA,italian,67,4.0
ERnG-1q3igX3VSgm5uLZ6A,italian,78,4.0
jEqsHSLzQraqG1qaMNjsBA,italian,36,4.0
C3PVq7UpeHd6nz1_e-AtkA,italian,157,3.5
JOoblYsQjFT-47tkt6om0A,italian,387,3.5
RHcfJ-l69RbBE4viU0-jwQ,italian,88,3.5
NOKaVqvi4hI8RgGjFCFIAg,italian,45,4.0
DMHG7FPb5sNZ-ccpjswgfQ,italian,10,4.5
dmolFt7_-B_dItBgnGxjrg,italian,29,4.0
WoXBfzGHcL3x6ME-X06qhA,italian,50,3.5
72_6srKAdZPSHCGNwK2Hfg,italian,133,3.5
NUHNLaMg7aMesMdAiie73w,italian,106,3.5
sw3HdidP3E9YiuuLVyfeNw,italian,10,4.5
XH2TZmZt6gzHHpjqk8C6pg,italian,46,3.5
Yqu3km0WcFRdUdrKan-LZA,italian,82,3.5
5a2WPziZW2HoW10H1ovbpQ,italian,69,3.5
cDz_5MwEZV1LIkJiIFDpoQ,italian,37,3.5
yE0f7SPDqafcaE1D8WsmDQ,italian,58,3.5
WW_oh8NfnHH32L_H5Kn1Ig,italian,35,3.5
HgqDZJpVY_eWJyYbFyTEfQ,italian,35,3.5
apHPFnDUIaZM7uZoB9DXfw,italian,73,3.0
c8DsYusKjQYUxnTj9BtVvA,italian,28,3.5
l0dOj4jI82qk-x6WVwNQLQ,italian,40,3.5
WNnkyVvBfY1vTqiqSufZQA,italian,164,3.0
RFbMVekR8lU9tPJ8sWrwHg,italian,29,3.5
YSUcHqlKMPHHJ_cTrqtNrA,italian,85,3.0
xLy6hAIyfva7fGuRrhI0dg,italian,57,3.0
yBGqf8l9NOM3vZFnlxcgzQ,italian,90,3.0
MUjlAtBNJR--7ai5pITbMg,italian,49,3.0
awgfKOBPuxqsjDHgcxSwbw,italian,15,3.5
8ZaaUqIp_h__jUIoPfuVKA,italian,52,3.0
WrKAFRFcx6GiLYR4Pshtgg,italian,56,3.0
hb3agPNAVZoaW8AkGh27eg,italian,7,4.5
ACK4IeBwuV7SRGDjkDDhQg,italian,11,4.0
8OuNJzNNK2JhTPiCuaGVMw,italian,23,3.5
R6ogSY7AA-gl_81PhdGJaw,italian,11,4.0
EEIz44ewHhOKmfTloAK13g,italian,288,4.5
AYLxEeVq8NKG2UhcBiggrA,italian,198,4.5
4m_hApwQ054v3ue_OxFmGw,italian,481,4.0
NtII1vBcP1CiAs54kY1JQw,italian,119,4.0
q2f9sfgxdZKPwRKjcd3LDw,italian,18,4.5
2WhAe8nUUl6TkX9mY8EKzQ,italian,49,4.0
91sdZ0d-5RMXNcBYB3uU0g,italian,96,4.0
G2Z-4U6cDsDQvT6v3FzYmA,italian,203,4.0
mRrgBIT8vsYdI3YSfzCQhg,italian,40,4.0
ZKklfxHUlL8_xReUyZfSUQ,italian,49,4.0
QrO_VmwDfdO5NzfmBeNhQw,italian,81,4.0
dizdLoOk0GMaSS_qQAuklQ,italian,56,4.0
aN_P_Wpsg1DfIzTkYt6t_g,italian,8,5.0
-CLTZ0cO-ooKDDmXHFoGMg,italian,103,3.5
iNhP0ejUf2jVzaR5YCOoEQ,italian,167,3.5
3lbDMeEaI1Anq1oW-ZggCA,italian,24,4.0
mZULBMjzhkQub7nqtHqSlQ,italian,29,4.0
LWI8ULsw0X1FpInux4Tg5Q,italian,38,4.0
rsjrcxOIJm9VdkSNpkXZ9Q,italian,127,3.5
sHnN3JliwVWvGX76Odmlbw,italian,81,3.5
My8InX3WCXU3Ii0JK6hrbg,italian,6,5.0
zIyqiWYKrCvAdGeWXXBxFw,italian,31,4.0
ngpwNIImAFfEl1wzaDDWGA,italian,50,3.5
6LR0Eg5EAMEIES7CY7ITOg,italian,50,3.5
q3uuXi_U-Jqxsk5Nx1Iomw,italian,111,3.5
Jlk4tLFXusQ6yWOFffpUfA,italian,24,4.0
uwT7CppiYkek-Z-661sndQ,italian,95,3.5
g-nzfTvso3-4c4gkhkmGbQ,italian,259,3.0
-w2WaIQWPH4iNeJz7IZKDw,italian,30,3.5
ER0Ck0B8t_Ghwuxd7rzdHw,italian,4,5.0
rxr0kjcVwX22QI2Hq5iA4w,italian,24,3.5
80qlT-7liqYBXUQCeRLmUg,italian,22,3.5
xhCiQt_-pMp1nKDXZ7n7BQ,italian,43,3.0
tkDBNAV71Sp7LlWKEhtZUA,italian,33,3.0
STNYM0jpu32PLF2uNTrpbA,italian,11,4.0
o954oK-S2OxH-OaBc7f0UQ,italian,16,3.5
2-0Z3UeQZ_Mx98m8Dv3oeQ,italian,87,3.0
wmTc6sSJxPwSj4NyvgffAw,italian,9,4.0
JhJRK4X8A7q2-m8_ubcmuQ,italian,20,3.5
jbbFyy2rl8x_7ssz-GifbQ,italian,21,3.5
pP0in1GA6N05Wgn60UIaJA,italian,19,3.5
cfc0L_lAjajc15u_jJZTZQ,italian,6,4.0
tgZU8QAowa7V4Af6DV9UUg,italian,35,3.0
R2BKGMHjxSDWyFVJ44tONQ,italian,7,4.0
7wE_iSOz62vSXyR7kS7ubg,italian,7,4.0
PgPvFZnQMfnusfZ5A2j-Nw,italian,49,3.0
ttCvYknuofQcSiDebuR4ZQ,italian,16,3.5
i-Mn8RJw5xUkITQBVvcKcQ,italian,52,3.0
0PlOgLqjGxnTC484RjHpIg,italian,4,4.5
Q2xmQsHQHNkZsWoXHZ8l5A,italian,10,3.5
wnRM4PgCFRZjQp8tUOUKEQ,italian,54,4.5
G12kABl0tfK4ylgj8XF06w,italian,133,4.0
USl08j1cxicgejktn17IVA,italian,57,4.5
1PJpo48hSChCbriXEHGSjw,italian,63,4.0
s7XVRYnDgohSDlwtta5euQ,italian,55,4.0
9LE2yGl23qxitNc9mkpbjA,italian,116,4.0
wuYKpHyjIfyvMR9YlwHn6Q,italian,87,4.0
XmfiEDGV1V1mqeEP7SurTg,italian,91,4.0
OpCWTpPscK2WCAO_XlztUg,italian,77,4.0
4sPSNBZo2sLxEGDvUHGdbg,italian,44,4.0
UZilBC8-jkGrR8y9AFrCgA,italian,64,4.0
1ktzkEqz44ivm54hTEj4mw,italian,15,4.5
8UiPh7jaIqT_Dm8Qt_9frA,italian,68,4.0
iL3Jpm1h1lkQMHXZe6T1CQ,italian,55,4.0
yOxuSjJcW7oEWYz9yb4HYA,italian,62,4.0
x1fGFjJEsOWTr3JKA0cjsA,italian,27,4.0
aadG1TzULt-ezzUJZUSSJQ,italian,99,3.5
pNPHMJbOZXhP5V6bI2KaRQ,italian,15,4.5
3biAdoMqbR3E2tHikgd2kQ,italian,36,4.0
RXyM7VrCiEFthJxQ4bGmBg,italian,94,3.5
cA9LmSotIsN3C8zCI94--A,italian,82,3.5
OSF8Iy5Xq-hAN4-zhDVS4w,italian,116,3.5
FfF8XGFf8_BSlWSjIgqeQg,italian,185,3.0
vExvdgUbU377-Fry2uuv_w,italian,84,3.5
W8Rv62fsDCbDp0L-Vl1NFg,italian,81,3.5
LhWwwDJ2l79a1tHrpcdK6A,italian,74,3.5
vxTV73VIhjskiFcI-9zLOg,italian,40,3.5
2Di7Tm9GgDPXefC6vGjvpA,italian,33,3.5
dsAcgF6qtZy2m6d_yWCrGQ,italian,72,3.5
pOEL97ld-FJMKO8Ki8JmYg,italian,314,3.0
XlvpNPAZnzm-DJmKYmK2nQ,italian,39,3.5
1Z9rGyR3Ld2mtnOTE4pNcg,italian,57,3.0
iBhTjNsOzKZuSEWgTT013w,italian,52,3.0
3ItnRCpQFlOU0_oJKoS0Jw,italian,31,3.5
zYPf36JHbPg56FMO-fNJ2w,italian,8,4.0
mA3kz245czbdqAyJMg9BsQ,italian,45,3.0
ngdC2c9FFkyepjqJRRcLXw,italian,14,3.5
myVi0xZBuYA0cWRQ3gHvWw,italian,6,4.0
KEyjG-6G4Dbo3p1Wmnxs4Q,italian,43,3.0
jAep5-Dl0PkvAiW96YLRCQ,italian,18,3.0
ofUx7sIRMBfIAnx_Qb6Klw,italian,17,3.0
MDjIylNU6CYq9hR3Qe6hVA,italian,53,2.5
vtnngSZ59wGytOaEHdrPPA,italian,10,3.5
Pe-vwHAn4Gnxp8g6e4HFLQ,italian,13,3.5
nK2IiZOQlUQllCdtJEnCQA,italian,3,4.5
ao5EZxkMDWyzV7aCJlHfOw,italian,7,3.5
fWhs5KYwHcRFKmJ5siNNdA,italian,19,3.0
1tinvR_pRVARKO_JGC-IHw,italian,10,3.5
eVurjy0t-82KGUfPf2ViGQ,italian,12,3.5
j3KRVmUKQMcSSxGdDUv9oA,italian,5,4.0
qQsrcouREdFUk4adim1uEA,italian,113,4.5
Da6eZFThE9xanUAGNpZxAg,italian,208,4.5
i_V36U612XnJ5SJAE1OPWw,italian,198,4.0
pvCcrHFAGCml492qoQBsQg,italian,171,4.0
hrrPxT846kLGs7ehEtLmRg,italian,43,4.5
qaNt4vtVdge_S68DVjw5Jg,italian,381,4.0
m2hz26KM3kLN_AS5CcEjPg,italian,172,4.0
wo6Z6VLOJejln04CsoX1WQ,italian,79,4.0
ojPrFPeJqqOKdA6O69HeiQ,italian,36,4.5
jqp--3Unhkr0a5_ofPWLEw,italian,212,4.0
ApVvAROFqpJF7G36t-lX_g,italian,18,4.5
PXN0l42g6IWp18NGJ7yn5w,italian,195,3.5
ClWJgVFGN-tAH-M3z3ax9g,italian,32,4.0
wfe31gLa1qtAgiCVI0cH2g,italian,26,4.0
5X3dzKWnBdV-KmxdGEPb_Q,italian,53,4.0
gtfLQysuCBEAQk3wwWxwTg,italian,86,3.5
49fcUkW5tOHlqBakrWTMzQ,italian,184,3.5
u6HOa5L1jr6K-73PekaM1Q,italian,31,4.0
npTomO2iJwilPgn8UOQqrA,italian,72,3.5
_3rJXHNQsnMnG-M8MHRkhg,italian,13,4.0
7YM7fxwtWYiHGfcsz2Ei1g,italian,92,3.5
LYWMVX8lRMfIiUTm4jS-pw,italian,97,3.5
ZRkq9vnzE6r8pmzAjy1fDQ,italian,15,4.0
hWrr711CC8UpHvQPKyluqQ,italian,22,4.0
5PYA-uKDRayqQS93YC7iuw,italian,35,3.5
X4rqmQMJcpY4EajFAFTSlw,italian,21,3.5
r_A7uy6FUXxDDD0g7wXMSg,italian,8,4.5
zA3LquAMUK4j-tMUqUOiWg,italian,19,3.5
o2uZemnFnlyEV0YDEiWBIw,italian,95,3.0
2KduMkQeDDgVHwsOGoIi_A,italian,54,3.0
E9b73ETPw0VYUJ2_YSJJdQ,italian,217,2.5
Fb4n3CDCn0pdSUz9FO7kDw,italian,10,3.5
rkssUq0wCU51zqHS5VZ7bg,italian,21,3.0
b8T-GvyzPnAEhC37S2UYYw,italian,4,4.5
Xfp4-gMS2HZhISIxw5HnvA,italian,20,3.0
4qSb9hR5F4D_dq31FJVj8w,italian,22,3.0
Cg3sK4ptre1uPPCzPWH1aw,italian,60,2.5
Ehp9p_cEt1y30fOroihtqA,italian,3,4.5
zUKoIMyTL0KuA2lkN0kvSg,italian,14,3.0
xanjmRbKWDYnyvVCmIBScw,italian,14,3.0
ZBSha-zoPLias7wCQ0ZyVw,italian,25,2.5
nQFlHK1UxglOjhblGSgeaw,italian,8,3.5
EwlA5wluJw5zzXxtA42brQ,italian,5,4.0
jtE9n7xevvkt7BMM02rLlA,italian,2,5.0
TZV9-wFayjwO1Bz6yStooA,italian,2,5.0
eZQV20xRXOuqR1Hej3nEqA,italian,4,4.0
QtmgWPmXPToAhN4LgyraPw,italian,3,4.5
4CwsMPsPkNgRjtCH2OCvdg,italian,3,4.5
M4HMPiR_lHPgOUL2CEihoA,italian,15,3.0
7e5VezwFWmNyv5RvuHyFrQ,italian,20,2.5
aRvCyCpwxgIqjXSSZ8pt3g,italian,37,5.0
Sk0Ycurq7D083Qs8x65b_Q,italian,259,4.5
jOqh0eVjqtUOpZ9AZgSazA,italian,95,4.5
h_4dPV9M9aYaBliH1Eoeeg,italian,788,4.0
bRntmjztJ4dFDA_LYiEECw,italian,333,4.0
Ibp4hEKSE8JaX9OvfEiFqg,italian,256,4.0
7skIQa_9nrcDU1A5KPJwCQ,italian,28,4.5
X_siTA_5pEvKUpNhYcxXOw,italian,67,4.0
FySCzH9luG_S4gRcH-O-gg,italian,8,5.0
wCEIvbgs9p7RYapa-34wIw,italian,42,4.0
6b0Cy4MPzyKMo6cAhYHY9Q,italian,29,4.0
6cz8xLR64Iuzpa4NNcFHqg,italian,55,4.0
qaMdtiyeRQdPulEWVjr30w,italian,86,4.0
-z9IQza32guuRyqF8jxMyQ,italian,19,4.5
bDiWN4ervEwrwSAmpfHBMg,italian,20,4.5
cepfJZIv0iLj1fDs8LdYZg,italian,179,3.5
4_sZelNo2BoCDIsw0MWWAA,italian,8,5.0
ydSiR7YyALkmmACVNtXzhg,italian,13,4.5
Ug705ve-b_E0ztOHsKsgSw,italian,32,4.0
xD7cl0fmr_nPbuCOro_vYA,italian,12,4.5
hUGsHeHHPfJ4gpj4LwHyXw,italian,47,3.5
mClrNYcwg8-pUJA2yMJttA,italian,30,3.5
KiP4NjelCHqNAf36JxXUQQ,italian,64,3.5
NuK62BeqnGGoLQNRfZsnUA,italian,13,4.0
z43YYRBLh7itGkLCCJV7GA,italian,37,3.5
A4aqz0pfgMX-votNbSZQDA,italian,23,3.5
Oz4S6OoptmKAZfGBsa5x9g,italian,47,3.5
rFay7nyXCrocFPsyb0hpOQ,italian,19,3.5
220Z1EQZwj9IsUhT9SdLiQ,italian,23,3.5
Kdt5XrqARBMIH694fgnyuA,italian,49,3.0
iaCb7zGq3plDMndF6PY8XQ,italian,14,3.5
8RYxQJTijCa8P02GexRwxQ,italian,33,3.0
AKews7AVm9e0QroGWcvUMA,italian,23,3.5
qcqDjeirxvdgW5kQVkEwSA,italian,135,3.0
zLlG-v3Q6FKd1p0gfS1SaA,italian,32,3.0
Ye2WDL6sA66605igAbKGFg,italian,43,3.0
_v3WsjEworH53RcWzWKEEw,italian,20,3.5
N_mY_4l5L2TowD4dxiKmrQ,italian,8,3.5
Q9yjRZFfILATrDc9ukxzZQ,italian,3,4.5
XA7hhTrBn0QQA18DK-VJoQ,italian,4,4.5
BnuOTPFCQe4710BJ_5qteQ,italian,12,3.0
EQ1cOH_mr5VyHGjhgz_vDA,italian,6,3.5
iAdj2sx6LHWt6_zM7U3GLw,italian,19,2.5
hWykPCexzAyXmqT0vgugag,italian,3,4.0
_Mpp2irnUC_AByKKc7i5kA,italian,2,4.5
vAtjw6-6uQL41Wzo5VZyyw,italian,6,3.0
M7gB_MsmKwjSO8pk1rQ00w,italian,7,3.0
GmaFnOXqud1WU8UkXIhZ3Q,italian,4,3.5
S7HAX9CfBs_pUPHO6jb1Uw,italian,5,3.0
LzYy9DdprXyI2zXNSP267g,italian,51,2.0
ncQTs1Sl_B-Q6AvtIxXC5w,italian,52,4.5
-7BCZH437U5FjmNJ26llkg,italian,77,4.5
SjgeuBlgKER9yegpoxT99w,italian,628,4.0
y-Iw6dZflNix4BdwIyTNGA,italian,245,4.0
ZdaZwXC0FByDY3EwNELphw,italian,213,4.0
O-uIEuv7JLUHajkemx_sVw,italian,643,4.0
