id,cuisine,review_count,rating,recommend
p1ohbPwI1QfjHQ2zRup5OA,italian,76,4.0,1
uXzHDmzG5mTcjP7IctinKQ,indian,76,4.0,1
ceK2VvPlxPBPo1evXOlD7g,indian,76,4.0,1
LnsAgGlvIPmc9eV_cMdU5w,mexican,76,4.0,1
98NaJ8FWzPuoymHfj6IIeA,chinese,76,3.5,1
1I3PnP5FSkur8AXp6izLOw,american,76,3.5,1
-7BCZH437U5FjmNJ26llkg,italian,77,4.5,1
jn7h4Uv-RKHflDHsAfqoDA,american,77,4.5,1
-7BCZH437U5FjmNJ26llkg,greek,77,4.5,1
ixGb4NLfgD90wZHlw94rLw,italian,77,4.0,1
OpCWTpPscK2WCAO_XlztUg,italian,77,4.0,1
U_yacPCk8HgE1ywATmQUrg,indian,77,4.0,1
aDWOXQVSvRPOpqcJ1ja0_Q,indian,77,4.0,1
ixGb4NLfgD90wZHlw94rLw,indian,77,4.0,1
gyPmHqIqC5-RAAy51oiafQ,american,77,4.0,1
aDWOXQVSvRPOpqcJ1ja0_Q,mexican,77,4.0,1
E76D-dlsLBzYloX6Ov96QA,spanish,77,4.0,1
EDU_Zwd7ed_OWxWrGHO9QQ,greek,77,4.0,1
aDWOXQVSvRPOpqcJ1ja0_Q,greek,77,4.0,1
E76D-dlsLBzYloX6Ov96QA,latin,77,4.0,1
8al-XRt5nuIize8_STWffQ,italian,77,3.5,1
CjfsFcNnV62PWWFq7-ZLgg,indian,77,3.5,1
BCknXEeT9vXQzKGHotsJKQ,american,77,3.5,1
ERnG-1q3igX3VSgm5uLZ6A,italian,78,4.0,1
djKTruHtS4n_vlfOknxjRw,italian,78,3.5,1
IGGDsLbFfqlqueE40hspdg,chinese,78,3.5,1
Oj4PqiXtPTd4kZdI5aG1uw,chinese,78,3.5,1
LAqGKns1zklhNF-tbbSCEQ,american,78,3.5,1
BLgwFGqvAIiG9J2ID47YyA,chinese,79,4.0,1
Ijh1AcbH-F3CyhYT_5qL8Q,indian,79,4.0,1
ASuPC0RuCgfGj7-9j_DNZg,american,79,4.0,1
AmSW0I3nxtQ4tdkhh0y7CA,greek,79,4.0,1
GSz_1XmiJjMroo0EocXXtw,greek,79,4.0,1
Ehln9m65hoi5ylWCH2osdQ,indian,79,3.5,1
YoEISHuKbCiq4HgykG9fIA,indian,79,3.5,1
3LsMfYF4cllUZbxve3scIA,mexican,79,3.5,1
QrO_VmwDfdO5NzfmBeNhQw,italian,80,4.0,1
wo6Z6VLOJejln04CsoX1WQ,italian,80,4.0,1
IithJLAUG3gWcHw9EKLLFA,chinese,80,4.0,1
YnHY2M-6Q5Lz_Loi8rZ2Ow,indian,80,4.0,1
FXHfcFVEfI1vVngW2gVOpw,indian,80,4.0,1
IithJLAUG3gWcHw9EKLLFA,indian,80,4.0,1
OmZ_Ub_0egPc6eDPD1OWSw,greek,80,4.0,1
Kxop0nGA-BUrwYD4EGhyPA,chinese,80,3.5,1
BSchC5THOB0MFmzJTEqAnQ,indian,80,3.5,1
IO0b0QQpI92At0g5BZUTlw,indian,80,3.5,1
bKUXKjUIY34BTowDBwFjbQ,american,80,3.5,1
QqesgEbz-B0mYEoEF6vBDg,mexican,80,3.5,1
xMhpJZaj4QT1Soh76-E2CA,indian,81,4.5,1
bebSq0oaQdgPX4tAPkgDlw,mexican,81,4.5,1
6Li3eGHOHaqfR9E8oaI1yg,chinese,81,4.0,1
HhuxirIJCNsDcIA27QXUVA,chinese,81,4.0,1
Q62lGVKqoKJ09lZNt2qpfw,chinese,81,4.0,1
